jalali_date,miladi_date,is_holiday,holiday_title
1403-04-13,2024-07-03,0,
1403-04-14,2024-07-04,0,
1403-04-15,2024-07-05,0,
1403-04-16,2024-07-06,0,
1403-04-17,2024-07-07,0,
1403-04-18,2024-07-08,0,
1403-04-19,2024-07-09,0,
1403-04-20,2024-07-10,0,
1403-04-21,2024-07-11,0,
1403-04-22,2024-07-12,0,
1403-04-23,2024-07-13,0,
1403-04-24,2024-07-14,0,
1403-04-25,2024-07-15,1,تاسوعای حسینی
1403-04-26,2024-07-16,1,عاشورای حسینی
1403-04-27,2024-07-17,0,
1403-04-28,2024-07-18,0,
1403-04-29,2024-07-19,0,
1403-04-30,2024-07-20,0,
1403-04-31,2024-07-21,0,
1403-05-01,2024-07-22,0,
1403-05-02,2024-07-23,0,
1403-05-03,2024-07-24,0,
1403-05-04,2024-07-25,0,
1403-05-05,2024-07-26,0,
1403-05-06,2024-07-27,0,
1403-05-07,2024-07-28,0,
1403-05-08,2024-07-29,0,
1403-05-09,2024-07-30,0,
1403-05-10,2024-07-31,0,
1403-05-11,2024-08-01,0,
1403-05-12,2024-08-02,0,
1403-05-13,2024-08-03,0,
1403-05-14,2024-08-04,0,
1403-05-15,2024-08-05,0,
1403-05-16,2024-08-06,0,
1403-05-17,2024-08-07,0,
1403-05-18,2024-08-08,0,
1403-05-19,2024-08-09,0,
1403-05-20,2024-08-10,0,
1403-05-21,2024-08-11,0,
1403-05-22,2024-08-12,0,
1403-05-23,2024-08-13,0,
1403-05-24,2024-08-14,0,
1403-05-25,2024-08-15,0,
1403-05-26,2024-08-16,0,
1403-05-27,2024-08-17,0,
1403-05-28,2024-08-18,0,
1403-05-29,2024-08-19,0,
1403-05-30,2024-08-20,0,
1403-05-31,2024-08-21,0,
1403-06-01,2024-08-22,0,
1403-06-02,2024-08-23,0,
1403-06-03,2024-08-24,0,
1403-06-04,2024-08-25,1,اربعین حسینی
1403-06-05,2024-08-26,0,
1403-06-06,2024-08-27,0,
1403-06-07,2024-08-28,0,
1403-06-08,2024-08-29,0,
1403-06-09,2024-08-30,0,
1403-06-10,2024-08-31,0,
1403-06-11,2024-09-01,0,
1403-06-12,2024-09-02,1,رحلت  رسول اکرم؛شهادت امام حسن مجتبی علیه السلام
1403-06-13,2024-09-03,0,
1403-06-14,2024-09-04,1,شهادت امام رضا علیه السلام
1403-06-15,2024-09-05,0,
1403-06-16,2024-09-06,0,
1403-06-17,2024-09-07,0,
1403-06-18,2024-09-08,0,
1403-06-19,2024-09-09,0,
1403-06-20,2024-09-10,0,
1403-06-21,2024-09-11,0,
1403-06-22,2024-09-12,1,شهادت امام حسن عسکری علیه السلام
1403-06-23,2024-09-13,0,
1403-06-24,2024-09-14,0,
1403-06-25,2024-09-15,0,
1403-06-26,2024-09-16,0,
1403-06-27,2024-09-17,0,
1403-06-28,2024-09-18,0,
1403-06-29,2024-09-19,0,
1403-06-30,2024-09-20,0,
1403-06-31,2024-09-21,1,میلاد رسول اکرم و امام جعفر صادق علیه السلام
1403-07-01,2024-09-22,0,
1403-07-02,2024-09-23,0,
1403-07-03,2024-09-24,0,
1403-07-04,2024-09-25,0,
1403-07-05,2024-09-26,0,
1403-07-06,2024-09-27,0,
1403-07-07,2024-09-28,0,
1403-07-08,2024-09-29,0,
1403-07-09,2024-09-30,0,
1403-07-10,2024-10-01,0,
1403-07-11,2024-10-02,0,
1403-07-12,2024-10-03,0,
1403-07-13,2024-10-04,0,
1403-07-14,2024-10-05,0,
1403-07-15,2024-10-06,0,
1403-07-16,2024-10-07,0,
1403-07-17,2024-10-08,0,
1403-07-18,2024-10-09,0,
1403-07-19,2024-10-10,0,
1403-07-20,2024-10-11,0,
1403-07-21,2024-10-12,0,
1403-07-22,2024-10-13,0,
1403-07-23,2024-10-14,0,
1403-07-24,2024-10-15,0,
1403-07-25,2024-10-16,0,
1403-07-26,2024-10-17,0,
1403-07-27,2024-10-18,0,
1403-07-28,2024-10-19,0,
1403-07-29,2024-10-20,0,
1403-07-30,2024-10-21,0,
1403-08-01,2024-10-22,0,
1403-08-02,2024-10-23,0,
1403-08-03,2024-10-24,0,
1403-08-04,2024-10-25,0,
1403-08-05,2024-10-26,0,
1403-08-06,2024-10-27,0,
1403-08-07,2024-10-28,0,
1403-08-08,2024-10-29,0,
1403-08-09,2024-10-30,0,
1403-08-10,2024-10-31,0,
1403-08-11,2024-11-01,0,
1403-08-12,2024-11-02,0,
1403-08-13,2024-11-03,0,
1403-08-14,2024-11-04,0,
1403-08-15,2024-11-05,0,
1403-08-16,2024-11-06,0,
1403-08-17,2024-11-07,0,
1403-08-18,2024-11-08,0,
1403-08-19,2024-11-09,0,
1403-08-20,2024-11-10,0,
1403-08-21,2024-11-11,0,
1403-08-22,2024-11-12,0,
1403-08-23,2024-11-13,0,
1403-08-24,2024-11-14,0,
1403-08-25,2024-11-15,0,
1403-08-26,2024-11-16,0,
1403-08-27,2024-11-17,0,
1403-08-28,2024-11-18,0,
1403-08-29,2024-11-19,0,
1403-08-30,2024-11-20,0,
1403-09-01,2024-11-21,0,
1403-09-02,2024-11-22,0,
1403-09-03,2024-11-23,0,
1403-09-04,2024-11-24,0,
1403-09-05,2024-11-25,0,
1403-09-06,2024-11-26,0,
1403-09-07,2024-11-27,0,
1403-09-08,2024-11-28,0,
1403-09-09,2024-11-29,0,
1403-09-10,2024-11-30,0,
1403-09-11,2024-12-01,0,
1403-09-12,2024-12-02,0,
1403-09-13,2024-12-03,0,
1403-09-14,2024-12-04,0,
1403-09-15,2024-12-05,1,شهادت حضرت فاطمه زهرا سلام الله علیها
1403-09-16,2024-12-06,0,
1403-09-17,2024-12-07,0,
1403-09-18,2024-12-08,0,
1403-09-19,2024-12-09,0,
1403-09-20,2024-12-10,0,
1403-09-21,2024-12-11,0,
1403-09-22,2024-12-12,0,
1403-09-23,2024-12-13,0,
1403-09-24,2024-12-14,0,
1403-09-25,2024-12-15,0,
1403-09-26,2024-12-16,0,
1403-09-27,2024-12-17,0,
1403-09-28,2024-12-18,0,
1403-09-29,2024-12-19,0,
1403-09-30,2024-12-20,0,
1403-10-01,2024-12-21,0,
1403-10-02,2024-12-22,0,
1403-10-03,2024-12-23,0,
1403-10-04,2024-12-24,0,
1403-10-05,2024-12-25,0,
1403-10-06,2024-12-26,0,
1403-10-07,2024-12-27,0,
1403-10-08,2024-12-28,0,
1403-10-09,2024-12-29,0,
1403-10-10,2024-12-30,0,
1403-10-11,2024-12-31,0,
1403-10-12,2025-01-01,0,
1403-10-13,2025-01-02,0,
1403-10-14,2025-01-03,0,
1403-10-15,2025-01-04,0,
1403-10-16,2025-01-05,0,
1403-10-17,2025-01-06,0,
1403-10-18,2025-01-07,0,
1403-10-19,2025-01-08,0,
1403-10-20,2025-01-09,0,
1403-10-21,2025-01-10,0,
1403-10-22,2025-01-11,0,
1403-10-23,2025-01-12,0,
1403-10-24,2025-01-13,0,
1403-10-25,2025-01-14,1,ولادت امام علی علیه السلام و روز پدر
1403-10-26,2025-01-15,0,
1403-10-27,2025-01-16,0,
1403-10-28,2025-01-17,0,
1403-10-29,2025-01-18,0,
1403-10-30,2025-01-19,0,
1403-11-01,2025-01-20,0,
1403-11-02,2025-01-21,0,
1403-11-03,2025-01-22,0,
1403-11-04,2025-01-23,0,
1403-11-05,2025-01-24,0,
1403-11-06,2025-01-25,0,
1403-11-07,2025-01-26,0,
1403-11-08,2025-01-27,0,
1403-11-09,2025-01-28,1,مبعث رسول اکرم (ص)
1403-11-10,2025-01-29,0,
1403-11-11,2025-01-30,0,
1403-11-12,2025-01-31,0,
1403-11-13,2025-02-01,0,
1403-11-14,2025-02-02,0,
1403-11-15,2025-02-03,0,
1403-11-16,2025-02-04,0,
1403-11-17,2025-02-05,0,
1403-11-18,2025-02-06,0,
1403-11-19,2025-02-07,0,
1403-11-20,2025-02-08,0,
1403-11-21,2025-02-09,0,
1403-11-22,2025-02-10,1,پیروزی انقلاب اسلامی
1403-11-23,2025-02-11,0,
1403-11-24,2025-02-12,0,
1403-11-25,2025-02-13,0,
1403-11-26,2025-02-14,1,ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان
1403-11-27,2025-02-15,0,
1403-11-28,2025-02-16,0,
1403-11-29,2025-02-17,0,
1403-11-30,2025-02-18,0,
1403-12-01,2025-02-19,0,
1403-12-02,2025-02-20,0,
1403-12-03,2025-02-21,0,
1403-12-04,2025-02-22,0,
1403-12-05,2025-02-23,0,
1403-12-06,2025-02-24,0,
1403-12-07,2025-02-25,0,
1403-12-08,2025-02-26,0,
1403-12-09,2025-02-27,0,
1403-12-10,2025-02-28,0,
1403-12-11,2025-03-01,0,
1403-12-12,2025-03-02,0,
1403-12-13,2025-03-03,0,
1403-12-14,2025-03-04,0,
1403-12-15,2025-03-05,0,
1403-12-16,2025-03-06,0,
1403-12-17,2025-03-07,0,
1403-12-18,2025-03-08,0,
1403-12-19,2025-03-09,0,
1403-12-20,2025-03-10,0,
1403-12-21,2025-03-11,0,
1403-12-22,2025-03-12,0,
1403-12-23,2025-03-13,0,
1403-12-24,2025-03-14,0,
1403-12-25,2025-03-15,0,
1403-12-26,2025-03-16,0,
1403-12-27,2025-03-17,0,
1403-12-28,2025-03-18,0,
1403-12-29,2025-03-19,1,روز ملی شدن صنعت نفت ایران
1403-12-30,2025-03-20,1,آخرین روز سال
